programme_label,degree,pathway,year,semester,module_code,module_name,status,collection,has_skills
Biology — Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,4,Spring,SCIU9PR,Biological and Environmental Sciences Honours Project,compulsory,,TRUE
Biology — Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,4,Spring,BIOFSE8,Optional Biology Module,optional,BIOFSE8,FALSE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,1,Autumn,BIOU1IE,Ecology: An Introduction,compulsory,,FALSE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,1,Autumn,SCIU1FI,Fundamentals for scientific inquiry,compulsory,,FALSE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,1,Autumn,ANYFBI1,Optional module,optional,,FALSE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,1,Spring,BIOU2PH,Introduction to Physiology,compulsory,,TRUE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,1,Spring,BIOU2CE,"Cells, the building blocks of life",compulsory,,TRUE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,1,Spring,ANYSE2,Optional module,optional,,FALSE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,2,Autumn,BIOU3GE,Evolution and Genetics,compulsory,,TRUE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,2,Autumn,SCIU3FB,Practical Field Biology,compulsory,,TRUE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,2,Autumn,SCIU3LS,Lab Essentials for Physical and Life Sciences,compulsory,,TRUE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,2,Spring,BIOU4BD,Biodiversity,compulsory,,FALSE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,2,Spring,SCIU4T4,Statistical Techniques,compulsory,,TRUE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,2,Spring,ANYSE4,Optional module,optional,,FALSE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,3,Autumn,BIOFELH,Optional Biology Module,optional,BIOFELH,FALSE
