module_code,module_name,coordinator,year,semester,category,skill_name,level
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,field,Health and Safety Competency,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,field,Mapping Skills,3
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,field,Sampling: In-situ Monitoring,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,field,Sampling: Physical Collection,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,field,Species Monitoring,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Accurate Result Reporting,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Air Quality Analysis,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Chemical Handling,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Developing and Implementing SOPs,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Good Laboratory Practices (GLP),0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Maintaining Lab Notebooks,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Microscopy,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Operating Lab Equipment,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Physical Chemical Analysis,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Pipetting,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Risk Assessments,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Sample Preparation and Handling,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Soil Quality Assessment,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,lab,Water Quality Assessment,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Adaptability,2
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Verbal Communication,2
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Written Communication,3
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Conflict Resolution,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Critical Thinking,3
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Detail-Orientated Skills,3
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Innovation,2
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Integrated Problem-solving,3
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Interpersonal Skills,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Leadership,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Reliability,2
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Resourcefulness,2
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Self-awareness,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Self-motivation,2
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Teamwork & Collaboration,0
EPLPPG1,Fundamentals of Remote Sensing,Verity Flower,5,9,personal,Time Management,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,AI (generative) Competency,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Computer Programming,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Data Management,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Effective Email Communication,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Geographical Information Systems (GIS),0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Graphic Design,1
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Modelling,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Presentation Software,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Remote Meeting/Collaborative Software,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Remote Sensing (data collection and analysis),0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Social Media,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Spreadsheet Creation and Management,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Statistical Programmes,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,computational,Word Processing,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,field,Application of Remote Observations,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,field,Conducting Transects,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,field,Core Skills,1
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,field,Drone Observations,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,field,Environmental Impact Assessment,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,field,GPS Usage,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,field,Health and Safety Competency,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,field,Mapping Skills,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,field,Sampling: In-situ Monitoring,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,field,Sampling: Physical Collection,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,field,Species Monitoring,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Accurate Result Reporting,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Air Quality Analysis,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Chemical Handling,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Developing and Implementing SOPs,1
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Good Laboratory Practices (GLP),2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Maintaining Lab Notebooks,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Microscopy,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Operating Lab Equipment,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Physical Chemical Analysis,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Pipetting,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Risk Assessments,0
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Sample Preparation and Handling,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Soil Quality Assessment,1
