"programme","module_code","competency","level"
"Biology — Data Analysis and Biostatistics","SCIU3LS","Systems Thinking","1"
"Biology — Data Analysis and Biostatistics","SCIU4T4","Critical Thinking","2"
"Biology — Data Analysis and Biostatistics","SCIU4T4","Innovation","1"
"Biology — Data Analysis and Biostatistics","SCIU4T4","Self-Awareness","1"
"Biology — Data Analysis and Biostatistics","BIOU4BD","Systems Thinking","0"
"Biology — Data Analysis and Biostatistics","SCIU4T4","Systems Thinking","1"
"Biology — Data Analysis and Biostatistics","SCIU7SR","Adaptability","2"
"Biology — Data Analysis and Biostatistics","SCIU7SR","Critical Thinking","3"
"Biology — Data Analysis and Biostatistics","SCIU7SR","Innovation","2"
"Biology — Data Analysis and Biostatistics","SCIU7SR","Integrated Problem Solving","3"
"Biology — Data Analysis and Biostatistics","SCIU7SR","Systems Thinking","3"
"Biology — Data Analysis and Biostatistics","BIOU6PE","Adaptability","2"
"Biology — Data Analysis and Biostatistics","BIOU6PE","Norms and Conflict Resolution","2"
"Biology — Data Analysis and Biostatistics","BIOU6PE","Critical Thinking","3"
"Biology — Data Analysis and Biostatistics","BIOU6PE","Innovation","3"
"Biology — Data Analysis and Biostatistics","BIOU6PE","Integrated Problem Solving","3"
"Biology — Data Analysis and Biostatistics","BIOU6PE","Self-Awareness","2"
"Biology — Data Analysis and Biostatistics","BIOU6PE","Teamwork & Collaboration","2"
"Biology — Data Analysis and Biostatistics","BIOU6PE","Systems Thinking","3"
"Biology — Data Analysis and Biostatistics","BIOU9IN","Systems Thinking","0"
"Biology — Data Analysis and Biostatistics","BIOU7SB","Adaptability","2"
"Biology — Data Analysis and Biostatistics","BIOU7SB","Critical Thinking","3"
"Biology — Data Analysis and Biostatistics","BIOU7SB","Innovation","2"
"Biology — Data Analysis and Biostatistics","SCIU9PS","Systems Thinking","0"
"Biology — Data Analysis and Biostatistics","BIOU7SB","Systems Thinking","2"
"Biology — Data Analysis and Biostatistics","SCIU9PR","Adaptability","3"
"Biology — Data Analysis and Biostatistics","SCIU9PR","Norms and Conflict Resolution","3"
"Biology — Data Analysis and Biostatistics","SCIU9PR","Critical Thinking","3"
"Biology — Data Analysis and Biostatistics","SCIU9PR","Innovation","3"
"Biology — Data Analysis and Biostatistics","SCIU9PR","Integrated Problem Solving","3"
"Biology — Data Analysis and Biostatistics","SCIU9PR","Self-Awareness","3"
"Biology — Data Analysis and Biostatistics","SCIU9PR","Teamwork & Collaboration","3"
"Biology — Data Analysis and Biostatistics","SCIU9PR","Systems Thinking","3"
