"module_code","topic"
"ENMPG22","Energy"
"ENMPG22","Forestry"
"ENMPG22","Geography"
"ENMPG22","Geology"
"ENMPG22","Hydrology"
"ENMPG22","Soil Science"
"ENMPG22","Sustainability"
"ENMPG22","Water Resources"
"ENMPG17","Biology"
"ENMPG17","Conservation"
"ENMPG17","Ecology"
"ENMPG17","Forestry"
"ENMPG17","Sustainability"
"BIOU9SX","Biology"
"SCIU3FB","Biology"
"SCIU3FB","Conservation"
"SCIU3FB","Ecology"
"GEOU9EH","Climate Science"
"GEOU9EH","Geography"
"GEOU9EH","Geology"
"GEOU9EH","Pollution"
"ENMPG04","Agriculture"
"ENMPG04","Atmospheric Science"
"ENMPG04","Forestry"
"ENMPG04","Geography"
"ENMPG04","Hydrology"
"ENMPG04","Pollution"
"ENMPG04","Resource Exploitation"
"ENMPG04","Sustainability"
"ENMPG04","Waste Management"
"ENMPG04","Water Resources"
"BIOU9BC","Agriculture"
"BIOU9BC","Aquaculture"
"BIOU9BC","Biology"
"BIOU9BC","Climate Science"
"BIOU9BC","Conservation"
"BIOU9BC","Ecology"
"BIOU9BC","Energy"
"BIOU9BC","Pollution"
"BIOU9BC","Resource Exploitation"
"BIOU9BC","Sustainability"
"GEOU9GL","Climate Science"
"GEOU9GL","Geography"
"GEOU9GL","Geology"
"GEOU9GL","Geospatial Science"
"ENVU6EA","Chemistry"
"ENVU6EA","Physics"
"ENVU6EA","Pollution"
"ENVU6EA","Water Resources"
"SCIU9PR","Agriculture"
"SCIU9PR","Aquaculture"
"SCIU9PR","Atmospheric Science"
"SCIU9PR","Biology"
"SCIU9PR","Chemistry"
"SCIU9PR","Climate Science"
"SCIU9PR","Conservation"
"SCIU9PR","Ecology"
"SCIU9PR","Energy"
"SCIU9PR","Forestry"
"SCIU9PR","Geography"
"SCIU9PR","Geology"
"SCIU9PR","Geospatial Science"
"SCIU9PR","Hydrology"
"SCIU9PR","Physics"
"SCIU9PR","Pollution"
"SCIU9PR","Resource Exploitation"
"SCIU9PR","Soil Science"
"SCIU9PR","Sustainability"
"SCIU9PR","Waste Management"
"SCIU9PR","Water Resources"
"SCIU9PR","Agriculture"
"SCIU9PR","Aquaculture"
"SCIU9PR","Atmospheric Science"
"SCIU9PR","Biology"
"SCIU9PR","Chemistry"
"SCIU9PR","Climate Science"
"SCIU9PR","Conservation"
"SCIU9PR","Ecology"
"SCIU9PR","Energy"
"SCIU9PR","Forestry"
"SCIU9PR","Geography"
"SCIU9PR","Geology"
"SCIU9PR","Geospatial Science"
"SCIU9PR","Hydrology"
"SCIU9PR","Physics"
"SCIU9PR","Pollution"
"SCIU9PR","Resource Exploitation"
"SCIU9PR","Soil Science"
"SCIU9PR","Sustainability"
"SCIU9PR","Waste Management"
"SCIU9PR","Water Resources"
"EPLPPG2","Agriculture"
"EPLPPG2","Aquaculture"
"EPLPPG2","Climate Science"
"EPLPPG2","Conservation"
"EPLPPG2","Ecology"
"EPLPPG2","Forestry"
"EPLPPG2","Geography"
"EPLPPG2","Geology"
"EPLPPG2","Geospatial Science"
"EPLPPG2","Hydrology"
"EPLPPG2","Soil Science"
"EPLPPG2","Water Resources"
"ENMPG23","Climate Science"
"ENMPG23","Energy"
"ENMPG23","Pollution"
"ENMPG23","Resource Exploitation"
"ENMPG23","Sustainability"
"GEOU1PP","Agriculture"
"GEOU1PP","Atmospheric Science"
"GEOU1PP","Climate Science"
"GEOU1PP","Geography"
"GEOU1PP","Hydrology"
"GEOU1PP","Soil Science"
"GEOU1PP","Sustainability"
"GEOU1PP","Water Resources"
"EOEU1OE","Conservation"
"EOEU1OE","Geography"
"EOEU1OE","Geology"
"EOEU1OE","Sustainability"
"EOEU3OE","Conservation"
"EOEU3OE","Geography"
"EOEU3OE","Geology"
"EOEU3OE","Sustainability"
"EOEU6S6","Conservation"
"EOEU6S6","Geography"
"EOEU6S6","Geology"
"EOEU6S6","Sustainability"
"EPLPPG3","Agriculture"
"EPLPPG3","Aquaculture"
"EPLPPG3","Atmospheric Science"
"EPLPPG3","Biology"
"EPLPPG3","Climate Science"
"EPLPPG3","Geography"
"EPLPPG3","Geology"
"EPLPPG3","Geospatial Science"
"EPLPPG3","Hydrology"
"EPLPPG3","Physics"
"EPLPPG3","Pollution"
"EPLPPG3","Sustainability"
"EPLPPG3","Water Resources"
