programme,degree,pathway,competency,module_code,module_name,year,semester,level,status
Biology - Biodiversity and Sustainability,Biology,Biodiversity and Sustainability,Critical Thinking,SCIU9PR,Biological and Environmental Sciences Honours Project,4,Spring,3,compulsory
Biology - Biodiversity and Sustainability,Biology,Biodiversity and Sustainability,Self-Awareness,SCIU9PR,Biological and Environmental Sciences Honours Project,4,Spring,3,compulsory
Biology - Biodiversity and Sustainability,Biology,Biodiversity and Sustainability,Integrated Problem Solving,SCIU9PR,Biological and Environmental Sciences Honours Project,4,Spring,3,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Critical Thinking,BIOU2PH,Introduction to Physiology,1,Spring,2,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Adaptability,BIOU2CE,"Cells, the building blocks of life",1,Spring,2,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Innovation,BIOU2CE,"Cells, the building blocks of life",1,Spring,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Critical Thinking,BIOU2CE,"Cells, the building blocks of life",1,Spring,2,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Self-Awareness,BIOU2CE,"Cells, the building blocks of life",1,Spring,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Integrated Problem Solving,BIOU2CE,"Cells, the building blocks of life",1,Spring,2,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Critical Thinking,BIOU3GE,Evolution and Genetics,2,Autumn,2,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Self-Awareness,BIOU3GE,Evolution and Genetics,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Integrated Problem Solving,BIOU3GE,Evolution and Genetics,2,Autumn,2,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Adaptability,SCIU3FB,Practical Field Biology,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Innovation,SCIU3FB,Practical Field Biology,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Teamwork & Collaboration,SCIU3FB,Practical Field Biology,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Critical Thinking,SCIU3FB,Practical Field Biology,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Adaptability,SCIU3LS,Lab Essentials for Physical and Life Sciences,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Teamwork & Collaboration,SCIU3LS,Lab Essentials for Physical and Life Sciences,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Critical Thinking,SCIU3LS,Lab Essentials for Physical and Life Sciences,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Self-Awareness,SCIU3LS,Lab Essentials for Physical and Life Sciences,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Integrated Problem Solving,SCIU3LS,Lab Essentials for Physical and Life Sciences,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Innovation,SCIU4T4,Statistical Techniques,2,Spring,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Critical Thinking,SCIU4T4,Statistical Techniques,2,Spring,2,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Self-Awareness,SCIU4T4,Statistical Techniques,2,Spring,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Adaptability,SCIU7SR,Statistics Using R,3,Autumn,2,pathway
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Innovation,SCIU7SR,Statistics Using R,3,Autumn,2,pathway
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Critical Thinking,SCIU7SR,Statistics Using R,3,Autumn,3,pathway
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Integrated Problem Solving,SCIU7SR,Statistics Using R,3,Autumn,3,pathway
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Adaptability,BIOU6PE,Plant Ecology,3,Spring,2,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Norms and Conflict Resolution,BIOU6PE,Plant Ecology,3,Spring,2,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Innovation,BIOU6PE,Plant Ecology,3,Spring,3,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Teamwork & Collaboration,BIOU6PE,Plant Ecology,3,Spring,2,compulsory
